,metabolite_id,metabolite_name,cross_feeding,produced_by,consumed_by
444,galmannan_medium,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed",False,[],['Bacteroides_uniformis_ATCC_8492']
445,galt_medium,galactitol,False,[],[]
446,galur_medium,D-Galacturonate,True,"['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Faecalibacterium_prausnitzii_M21_2']"
447,gam_medium,D-Glucosamine,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
448,gcald_medium,glycolaldehyde,True,['Bifidobacterium_adolescentis_ATCC_15703'],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']"
449,gchola_medium,glycocholate,False,[],"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']"
450,glc_D_medium,D-glucose,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
451,glcmannan_medium,"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D",False,[],['Bacteroides_uniformis_ATCC_8492']
452,glcur_medium,D-glucuronate,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703']",['Bacteroides_uniformis_ATCC_8492']
453,gly_medium,Glycine,True,"['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']","['Bacteroides_uniformis_ATCC_8492', 'Bifidobacterium_adolescentis_ATCC_15703', 'Faecalibacterium_prausnitzii_M21_2']"
454,glygn2_medium,"glycogen, structure 2 (glycogenin-1,6-{7[1,4-Glc], 4[1,4-Glc]})",False,[],['Bacteroides_uniformis_ATCC_8492']
